Years;Export_terminal_costs
2025;0.11152735894769739
2026;0.11035214467655
2027;0.10930926732263539
2028;0.10822257790365376
2029;0.1071590017184424
2030;0.10613528481859079
2031;0.10424758645550349
2032;0.1024943232428754
2033;0.10092544821607542
2034;0.09929095137250983
2035;0.09745791072885343
2036;0.09543961346376884
2037;0.09356298968092079
2038;0.09187316080145057
2039;0.09042865586488241
2040;0.08895330006599042
2041;0.08754163799821132
2042;0.08623218817803686
2043;0.08499113910742241
2044;0.08377766315567889
2045;0.08243513205588492
2046;0.08079844799870091
2047;0.07880874696671131
2048;0.07661897242703489
2049;0.07457273917016506
2050;0.07279733753565786
