Years;LH2_Export_terminal_emissions
2025;27.379789274999997
2026;26.01079981125
2027;24.641810347499998
2028;23.272820883749997
2029;21.903831419999996
2030;20.534841956249995
2031;19.165852492499997
2032;17.796863028749996
2033;16.427873564999995
2034;15.058884101249994
2035;13.689894637499995
2036;12.320905173749994
2037;10.951915709999994
2038;9.582926246249993
2039;8.213936782499992
2040;6.844947318749993
2041;5.475957854999992
2042;4.106968391249992
2043;2.7379789274999915
2044;1.3689894637499913
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
