Years;LH2_Liquefaction_costs
2025;1.2153410911954627
2026;1.1758232918622051
2027;1.1381946560825542
2028;1.1000221387998494
2029;1.0622159119257855
2030;1.0249841754952957
2031;0.9900418794521586
2032;0.9567971616741384
2033;0.9258146815978542
2034;0.8938890863831402
2035;0.8594185604151232
2036;0.8226621255930412
2037;0.7876235144844745
2038;0.7547658058704159
2039;0.7246785408023357
2040;0.6940720122173554
2041;0.6768717674445657
2042;0.6605376966575511
2043;0.6446318078537319
2044;0.6286757686254153
2045;0.6110449395102657
2046;0.5901840650625889
2047;0.5657365172179911
2048;0.5394174978774892
2049;0.5145578530576322
2050;0.4925057763736189
