Years;LNH3_Conversion_costs
2025;0.2395512991192312
2026;0.23488796998286116
2027;0.2311534940497762
2028;0.22710598866355497
2029;0.22321703782226493
2030;0.21960449484011738
2031;0.21319072562881283
2032;0.2076648266712624
2033;0.20328858047955276
2034;0.19837321711191885
2035;0.1921233099086585
2036;0.18471743955929634
2037;0.1781764856468022
2038;0.17269001810874257
2039;0.16849275733088911
2040;0.16397035983563746
2041;0.16593941822380692
2042;0.1684547834722129
2043;0.17133332038674756
2044;0.17435392432746902
2045;0.17666901448414946
2046;0.17738517705783657
2047;0.17618369103595102
2048;0.17389166407458742
2049;0.17236768881655037
2050;0.17248352202486764
