Years;LNH3_Export_terminal_costs
2025;0.07416611992169615
2026;0.07414395895643874
2027;0.07413174397077275
2028;0.0741161771265554
2029;0.07410230805359234
2030;0.07409139870226907
2031;0.07409355670861043
2032;0.07410579088871697
2033;0.0741318703056067
2034;0.07415292228839199
2035;0.07415891196632855
2036;0.07415084036644787
2037;0.07415338252091376
2038;0.07416994203027608
2039;0.07420493435619861
2040;0.07423751092812489
2041;0.07427480536928575
2042;0.074319722208955
2043;0.07436970623589147
2044;0.07442167246654405
2045;0.07446379494891789
2046;0.07448360824187693
2047;0.07447666536013195
2048;0.07445450660204447
2049;0.07444306415851192
2050;0.07445450129881355
