Years;Liquefaction_costs
2025;1.4100075442107296
2026;1.3634066849733217
2027;1.3186949892895208
2028;1.2734394121026658
2029;1.2285501253244517
2030;1.184235328989812
2031;1.1422099730425248
2032;1.1018821953603546
2033;1.0638166553799202
2034;1.0248080002610562
2035;0.9832544143888893
2036;0.9394149196626571
2037;0.8972932486499403
2038;0.8573524801317316
2039;0.8201821551595012
2040;0.7824925666703709
2041;0.7616151224597287
2042;0.7416038522348618
2043;0.7220207639931902
2044;0.7023875253270211
2045;0.6810794967740192
2046;0.6565414228884899
2047;0.6284166756060396
2048;0.5984204568276854
2049;0.569883612569976
2050;0.5441543364481103
