Years;Minimal_offshore_transport_costs
2025;1.0916957126866993
2026;1.060885313425557
2027;1.0344994961142029
2028;1.006976646130869
2029;0.3683469621278081
2030;0.3682699658162563
2031;0.3682851966511306
2032;0.3683715433747028
2033;0.3685556073807496
2034;0.3687041886279097
2035;0.1040481821249607
2036;0.103991214171439
2037;0.1040091562572211
2038;0.1041260304053005
2039;0.1043730001791043
2040;0.1046029199797414
2041;0.1048661376840469
2042;0.1051831529564142
2043;0.1055359315586035
2044;0.1059027002111966
2045;0.1061999933939062
2046;0.1063398321828806
2047;0.1062908305264059
2048;0.1061344378509161
2049;0.1060536790669115
2050;0.106134400421631
