Years;Total_supply_costs
2025;3.583688118606128
2026;3.434332057480351
2027;3.190219670963518
2028;2.8286285357747047
2029;2.199542850566164
2030;2.207656637049133
2031;2.2248019597333224
2032;2.2405941917137433
2033;2.2550571407137974
2034;2.2680549527052642
2035;2.014816001409406
2036;2.0247415179026214
2037;2.033305098212803
2038;2.0123338506330875
2039;1.9754853072552017
2040;1.9386788418147969
2041;1.9066484668541026
2042;1.8760050477327277
2043;1.846102634849554
2044;1.8201100376727883
2045;1.7657645051753335
2046;1.733759892215094
2047;1.7026292785341974
2048;1.6723592609036007
2049;1.643050048643072
2050;1.6147147378626021
