Years;NH3_Import_terminal_emissions
2025;19.824236655665565
2026;18.645417601760172
2027;17.46659854785478
2028;16.28777949394939
2029;15.108960440044
2030;13.930141386138615
2031;13.014732095049506
2032;12.099322803960396
2033;11.183913512871287
2034;10.268504221782177
2035;9.353094930693068
2036;8.437685639603957
2037;7.522276348514849
2038;6.60686705742574
2039;5.691457766336631
2040;4.776048475247525
2041;3.82083878019802
2042;2.8656290851485156
2043;1.9104193900990103
2044;0.9552096950495053
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
