Years;Reconversion_costs
2025;0.7025278026831503
2026;0.6760794685323205
2027;0.6531025963005943
2028;0.6293130171135526
2029;0.6062846885600605
2030;0.5843368044187671
2031;0.5662083115745923
2032;0.5507639109970676
2033;0.5387368296599412
2034;0.5250004750777241
2035;0.5072236532442382
2036;0.4860209592037249
2037;0.4673748140091659
2038;0.45176705592838373
2039;0.43977962241053953
2040;0.4267164383178281
2041;0.4176234694658387
2042;0.409375989055842
2043;0.40133625785622384
2044;0.392855438563542
2045;0.38194787435794747
2046;0.36689790150377244
2047;0.34756914947790096
2048;0.3262108446494693
2049;0.30662110376459056
2050;0.29006753456502704
