Years;Retrofit_pipeline_costs
2025;0.14069981577921137
2026;0.1404712191012926
2027;0.1403452180398932
2028;0.14018464160143776
2029;0.14004157815775015
2030;0.13992904508702048
2031;0.13995130553799062
2032;0.14007750459551938
2033;0.14034652121974153
2034;0.1405636784271294
2035;0.14062546366356657
2036;0.14054220280841953
2037;0.14056842585687027
2038;0.14073924191944787
2039;0.14110019774269963
2040;0.14143623437439998
2041;0.14182093717300034
2042;0.14228426718646023
2043;0.14279986668196767
2044;0.14333591317421907
2045;0.14377041859510237
2046;0.14397479836360338
2047;0.14390318055798654
2048;0.14367460664765533
2049;0.14355657457872542
2050;0.14367455194331555
