Years;Retrofit_pipeline_costs_off
2025;0.10189193639647931
2026;0.10332179339647932
2027;0.10475165039647931
2028;0.10618150739647932
2029;0.10761136439647931
2030;0.10904122139647932
2031;0.1091062148964793
2032;0.10917120839647931
2033;0.10923620189647931
2034;0.10930119539647931
2035;0.10936618889647931
2036;0.1094311823964793
2037;0.10949617589647931
2038;0.10956116939647932
2039;0.10962616289647932
2040;0.10969115639647932
2041;0.10897622789647932
2042;0.1082612993964793
2043;0.10754637089647931
2044;0.10683144239647932
2045;0.1061165138964793
2046;0.1054015853964793
2047;0.10468665689647931
2048;0.1039717283964793
2049;0.1032567998964793
2050;0.10254187139647931
